Setor; Segmento; Categorias; Ano; Total; Janeiro; Fevereiro; Março; Abril; Maio; Junho; Julho; Agosto; Setembro; Outubro; Novembro; Dezembro
Corcovado; Ferroviário; Pagantes; 2020; 93972; 93972; 78164; 40644; ; ; ; ; ; ; ; ; 
Corcovado; Rodoviário; Gratuidades; 2020; 614; 614; 482; 183; ; ; ; ; ; ; ; ; 
Corcovado; Rodoviário; Guias; 2020; 8088; 8088; 6093; 3095; ; ; ; ; ; ; ; ; 
Corcovado; Rodoviário; Mitra; 2020; 2035; 2035; 154; 18; ; ; ; ; ; ; ; ; 
Corcovado; Rodoviário; Pagantes; 2020; 152041; 152041; 103257; 48889; ; ; ; ; ; ; ; ; 
Estrada Redentor; Sapucaia; Ciclistas; 2020; 865; 865; 1903; 883; ; ; ; ; ; ; ; ; 
Estrada Redentor; Sapucaia; Visitantes; 2020; 491; 491; 661; 414; ; ; ; ; ; ; ; ; 
Pedra Bonita; Guarita; Visitantes; 2020; 16427; 16427; 11005; ; ; ; ; ; ; ; ; ; 
Pedra da Gávea; Trilha; Visitantes; 2020; 3191; 3191; 2220; 1786; ; ; ; ; ; ; ; ; 
Setor Floresta; Floresta da Tijuca; Ciclistas; 2020; 880; 880; 816; 455; ; ; ; ; ; ; ; ; 
Setor Floresta; Floresta da Tijuca; Visitantes; 2020; 48494; 48494; 37405; 20112; ; ; ; ; ; ; ; ; 
Vista Chinesa; Macacos; Ciclistas; 2020; 2571; 2571; 2392; 1796; ; ; ; ; ; ; ; ; 
Vista Chinesa; Macacos; Visitantes; 2020; 4236; 4236; 3489; 2374; ; ; ; ; ; ; ; ; 
Vista Chinesa; Passo de Pedra; Ciclistas; 2020; 2635; 2635; 2327; 1357; ; ; ; ; ; ; ; ; 
Vista Chinesa; Passo de Pedra; Visitantes; 2020; 15159; 15159; 12078; 5773; ; ; ; ; ; ; ; ; 
